group_index,variable_index,group,variable,value_scaled,value,input_time_ref,input_time,input_values,output_time_ref,output_time,prediction,y_true
0,0,16/10/2019 00:00,23/10/2019 00:00,0.124430285,0.006512047,0,16/10/2019 00:00,25441,0,23/10/2019 00:00,24652.0625,25639
0,1,16/10/2019 00:00,23/10/2019 00:30,0.125508782,0.006625422,1,16/10/2019 00:30,25716,1,23/10/2019 00:30,24506.52539,26046
0,2,16/10/2019 00:00,23/10/2019 01:00,0.123361476,0.006400656,2,16/10/2019 01:00,25544,2,23/10/2019 01:00,24164.20898,25973
0,3,16/10/2019 00:00,23/10/2019 01:30,0.111914506,0.005267915,3,16/10/2019 01:30,25173,3,23/10/2019 01:30,23799.80664,25680
0,4,16/10/2019 00:00,23/10/2019 02:00,0.099992581,0.004205353,4,16/10/2019 02:00,24788,4,23/10/2019 02:00,23465.66992,24694
0,5,16/10/2019 00:00,23/10/2019 02:30,0.087649436,0.00323122,5,16/10/2019 02:30,24257,5,23/10/2019 02:30,23255.68555,24458
0,6,16/10/2019 00:00,23/10/2019 03:00,0.074404971,0.00232849,6,16/10/2019 03:00,23315,6,23/10/2019 03:00,23216.20898,24096
0,7,16/10/2019 00:00,23/10/2019 03:30,0.059367734,0.001482436,7,16/10/2019 03:30,23482,7,23/10/2019 03:30,23383.98047,24669
0,8,16/10/2019 00:00,23/10/2019 04:00,0.043831103,0.000808072,8,16/10/2019 04:00,24193,8,23/10/2019 04:00,23867.85352,25493
0,9,16/10/2019 00:00,23/10/2019 04:30,0.030675164,0.000395807,9,16/10/2019 04:30,25671,9,23/10/2019 04:30,24827.04492,26725
0,10,16/10/2019 00:00,23/10/2019 05:00,0.020797441,0.000181963,10,16/10/2019 05:00,29330,10,23/10/2019 05:00,26531.35938,29468
0,11,16/10/2019 00:00,23/10/2019 05:30,0.013603947,7.79E-05,11,16/10/2019 05:30,32183,11,23/10/2019 05:30,29100.75977,32503
0,12,16/10/2019 00:00,23/10/2019 06:00,0.008561166,3.09E-05,12,16/10/2019 06:00,35506,12,23/10/2019 06:00,32606.08008,35236
0,13,16/10/2019 00:00,23/10/2019 06:30,0.005370466,1.22E-05,13,16/10/2019 06:30,35506,13,23/10/2019 06:30,35768.21875,36868
0,14,16/10/2019 00:00,23/10/2019 07:00,0.00360325,5.50E-06,14,16/10/2019 07:00,38843,14,23/10/2019 07:00,37433.88672,38351
0,15,16/10/2019 00:00,23/10/2019 07:30,0.002767692,3.26E-06,15,16/10/2019 07:30,39265,15,23/10/2019 07:30,38359.13281,38702
0,16,16/10/2019 00:00,23/10/2019 08:00,0.002389389,2.44E-06,16,16/10/2019 08:00,39891,16,23/10/2019 08:00,38867.0625,38885
0,17,16/10/2019 00:00,23/10/2019 08:30,0.002197185,2.07E-06,17,16/10/2019 08:30,40249,17,23/10/2019 08:30,39073.69141,38782
0,18,16/10/2019 00:00,23/10/2019 09:00,0.002107832,1.91E-06,18,16/10/2019 09:00,40227,18,23/10/2019 09:00,39185.00781,39312
0,19,16/10/2019 00:00,23/10/2019 09:30,0.002094539,1.89E-06,19,16/10/2019 09:30,40143,19,23/10/2019 09:30,39240.31641,39270
0,20,16/10/2019 00:00,23/10/2019 10:00,0.0021485,1.98E-06,20,16/10/2019 10:00,40381,20,23/10/2019 10:00,39165.54688,39645
0,21,16/10/2019 00:00,23/10/2019 10:30,0.002267924,2.21E-06,21,16/10/2019 10:30,40362,21,23/10/2019 10:30,39013.93359,39564
0,22,16/10/2019 00:00,23/10/2019 11:00,0.002468581,2.61E-06,22,16/10/2019 11:00,40758,22,23/10/2019 11:00,38831.43359,39403
0,23,16/10/2019 00:00,23/10/2019 11:30,0.002779918,3.29E-06,23,16/10/2019 11:30,40795,23,23/10/2019 11:30,38635.84375,39247
0,24,16/10/2019 00:00,23/10/2019 12:00,0.003236023,4.45E-06,24,16/10/2019 12:00,40314,24,23/10/2019 12:00,38386.63281,39059
0,25,16/10/2019 00:00,23/10/2019 12:30,0.003903316,6.45E-06,25,16/10/2019 12:30,39992,25,23/10/2019 12:30,38044.38672,38640
0,26,16/10/2019 00:00,23/10/2019 13:00,0.004863807,9.99E-06,26,16/10/2019 13:00,39368,26,23/10/2019 13:00,37666.27734,38131
0,27,16/10/2019 00:00,23/10/2019 13:30,0.006283329,1.66E-05,27,16/10/2019 13:30,38820,27,23/10/2019 13:30,37442.26172,37815
0,28,16/10/2019 00:00,23/10/2019 14:00,0.008424114,2.99E-05,28,16/10/2019 14:00,37736,28,23/10/2019 14:00,37513.53906,37561
0,29,16/10/2019 00:00,23/10/2019 14:30,0.011844241,5.90E-05,29,16/10/2019 14:30,37742,29,23/10/2019 14:30,37981.54297,38147
0,30,16/10/2019 00:00,23/10/2019 15:00,0.017570874,0.000129895,30,16/10/2019 15:00,38642,30,23/10/2019 15:00,38877.58203,39336
0,31,16/10/2019 00:00,23/10/2019 15:30,0.02664433,0.00029863,31,16/10/2019 15:30,39227,31,23/10/2019 15:30,39838.26563,40241
0,32,16/10/2019 00:00,23/10/2019 16:00,0.038387936,0.000619843,32,16/10/2019 16:00,40732,32,23/10/2019 16:00,40572.96875,40275
0,33,16/10/2019 00:00,23/10/2019 16:30,0.051194895,0.001102383,33,16/10/2019 16:30,41102,33,23/10/2019 16:30,41632.23828,41164
0,34,16/10/2019 00:00,23/10/2019 17:00,0.063957749,0.00172052,34,16/10/2019 17:00,42270,34,23/10/2019 17:00,42963.66797,43965
0,35,16/10/2019 00:00,23/10/2019 17:30,0.075573532,0.002402203,35,16/10/2019 17:30,43835,35,23/10/2019 17:30,43033.29688,43976
0,36,16/10/2019 00:00,23/10/2019 18:00,0.085503074,0.003074907,36,16/10/2019 18:00,43484,36,23/10/2019 18:00,42447.23047,43538
0,37,16/10/2019 00:00,23/10/2019 18:30,0.09470788,0.00377259,37,16/10/2019 18:30,42563,37,23/10/2019 18:30,41564.89063,42129
0,38,16/10/2019 00:00,23/10/2019 19:00,0.102890023,0.004452595,38,16/10/2019 19:00,41666,38,23/10/2019 19:00,40355.65625,41214
0,39,16/10/2019 00:00,23/10/2019 19:30,0.109725072,0.005063816,39,16/10/2019 19:30,40366,39,23/10/2019 19:30,38942.40234,39657
0,40,16/10/2019 00:00,23/10/2019 20:00,0.115245339,0.00558615,40,16/10/2019 20:00,37779,40,23/10/2019 20:00,37268.22266,37751
0,41,16/10/2019 00:00,23/10/2019 20:30,0.119414792,0.00599766,41,16/10/2019 20:30,35712,41,23/10/2019 20:30,35197.625,35755
0,42,16/10/2019 00:00,23/10/2019 21:00,0.122353238,0.006296459,42,16/10/2019 21:00,33803,42,23/10/2019 21:00,33045.52344,32862
0,43,16/10/2019 00:00,23/10/2019 21:30,0.124359906,0.006504683,43,16/10/2019 21:30,31745,43,23/10/2019 21:30,31203.18555,30629
0,44,16/10/2019 00:00,23/10/2019 22:00,0.125461124,0.006620391,44,16/10/2019 22:00,31030,44,23/10/2019 22:00,29562.36719,29707
0,45,16/10/2019 00:00,23/10/2019 22:30,0.125336211,0.006607215,45,16/10/2019 22:30,29407,45,23/10/2019 22:30,27728.45898,27990
0,46,16/10/2019 00:00,23/10/2019 23:00,0.124124618,0.006480093,46,16/10/2019 23:00,27620,46,23/10/2019 23:00,26106.09766,25768
0,47,16/10/2019 00:00,23/10/2019 23:30,0.123384741,0.006403071,47,16/10/2019 23:30,26607,47,23/10/2019 23:30,25282.54492,25253
1,0,16/10/2019 00:30,23/10/2019 00:00,0.129042832,0.007003787,48,17/10/2019 00:00,26471,,,,
1,1,16/10/2019 00:30,23/10/2019 00:30,0.129819053,0.007088298,49,17/10/2019 00:30,26807,,,,
1,2,16/10/2019 00:30,23/10/2019 01:00,0.125483484,0.006622751,50,17/10/2019 01:00,26693,,,,
1,3,16/10/2019 00:30,23/10/2019 01:30,0.114106111,0.005476255,51,17/10/2019 01:30,26427,,,,
1,4,16/10/2019 00:30,23/10/2019 02:00,0.102592089,0.004426846,52,17/10/2019 02:00,26032,,,,
1,5,16/10/2019 00:30,23/10/2019 02:30,0.090747296,0.00346366,53,17/10/2019 02:30,25933,,,,
1,6,16/10/2019 00:30,23/10/2019 03:00,0.077911859,0.002553153,54,17/10/2019 03:00,25797,,,,
1,7,16/10/2019 00:30,23/10/2019 03:30,0.06296944,0.001667759,55,17/10/2019 03:30,25946,,,,
1,8,16/10/2019 00:30,23/10/2019 04:00,0.047182527,0.000936364,56,17/10/2019 04:00,25536,,,,
1,9,16/10/2019 00:30,23/10/2019 04:30,0.033619087,0.000475415,57,17/10/2019 04:30,27174,,,,
1,10,16/10/2019 00:30,23/10/2019 05:00,0.023256252,0.000227522,58,17/10/2019 05:00,28921,,,,
1,11,16/10/2019 00:30,23/10/2019 05:30,0.015521311,0.000101368,59,17/10/2019 05:30,31779,,,,
1,12,16/10/2019 00:30,23/10/2019 06:00,0.009951343,4.17E-05,60,17/10/2019 06:00,35810,,,,
1,13,16/10/2019 00:30,23/10/2019 06:30,0.006343275,1.70E-05,61,17/10/2019 06:30,37286,,,,
1,14,16/10/2019 00:30,23/10/2019 07:00,0.00430675,7.84E-06,62,17/10/2019 07:00,38745,,,,
1,15,16/10/2019 00:30,23/10/2019 07:30,0.003336192,4.72E-06,63,17/10/2019 07:30,38872,,,,
1,16,16/10/2019 00:30,23/10/2019 08:00,0.002902038,3.58E-06,64,17/10/2019 08:00,39001,,,,
1,17,16/10/2019 00:30,23/10/2019 08:30,0.00268637,3.08E-06,65,17/10/2019 08:30,39331,,,,
1,18,16/10/2019 00:30,23/10/2019 09:00,0.002592435,2.87E-06,66,17/10/2019 09:00,37760,,,,
1,19,16/10/2019 00:30,23/10/2019 09:30,0.002590109,2.86E-06,67,17/10/2019 09:30,37421,,,,
1,20,16/10/2019 00:30,23/10/2019 10:00,0.002670609,3.04E-06,68,17/10/2019 10:00,37108,,,,
1,21,16/10/2019 00:30,23/10/2019 10:30,0.002834574,3.42E-06,69,17/10/2019 10:30,36836,,,,
1,22,16/10/2019 00:30,23/10/2019 11:00,0.003104848,4.10E-06,70,17/10/2019 11:00,36641,,,,
1,23,16/10/2019 00:30,23/10/2019 11:30,0.00352098,5.26E-06,71,17/10/2019 11:30,36613,,,,
1,24,16/10/2019 00:30,23/10/2019 12:00,0.004128398,7.21E-06,72,17/10/2019 12:00,36159,,,,
1,25,16/10/2019 00:30,23/10/2019 12:30,0.005012983,1.06E-05,73,17/10/2019 12:30,35617,,,,
1,26,16/10/2019 00:30,23/10/2019 13:00,0.006279871,1.66E-05,74,17/10/2019 13:00,35750,,,,
1,27,16/10/2019 00:30,23/10/2019 13:30,0.008139731,2.79E-05,75,17/10/2019 13:30,35666,,,,
1,28,16/10/2019 00:30,23/10/2019 14:00,0.010923143,5.02E-05,76,17/10/2019 14:00,35947,,,,
1,29,16/10/2019 00:30,23/10/2019 14:30,0.015334658,9.89E-05,77,17/10/2019 14:30,36406,,,,
1,30,16/10/2019 00:30,23/10/2019 15:00,0.022662555,0.000216056,78,17/10/2019 15:00,36696,,,,
1,31,16/10/2019 00:30,23/10/2019 15:30,0.034111976,0.000489456,79,17/10/2019 15:30,37223,,,,
1,32,16/10/2019 00:30,23/10/2019 16:00,0.048502908,0.000989502,80,17/10/2019 16:00,38071,,,,
1,33,16/10/2019 00:30,23/10/2019 16:30,0.063537604,0.00169799,81,17/10/2019 16:30,38595,,,,
1,34,16/10/2019 00:30,23/10/2019 17:00,0.077788185,0.002545054,82,17/10/2019 17:00,40930,,,,
1,35,16/10/2019 00:30,23/10/2019 17:30,0.089885276,0.00339817,83,17/10/2019 17:30,41833,,,,
1,36,16/10/2019 00:30,23/10/2019 18:00,0.099329061,0.004149728,84,17/10/2019 18:00,42301,,,,
1,37,16/10/2019 00:30,23/10/2019 18:30,0.107677248,0.004876567,85,17/10/2019 18:30,41124,,,,
1,38,16/10/2019 00:30,23/10/2019 19:00,0.114619087,0.005525604,86,17/10/2019 19:00,38276,,,,
1,39,16/10/2019 00:30,23/10/2019 19:30,0.119894167,0.00604591,87,17/10/2019 19:30,36723,,,,
1,40,16/10/2019 00:30,23/10/2019 20:00,0.123726961,0.006438639,88,17/10/2019 20:00,36154,,,,
1,41,16/10/2019 00:30,23/10/2019 20:30,0.126215646,0.00670026,89,17/10/2019 20:30,34431,,,,
1,42,16/10/2019 00:30,23/10/2019 21:00,0.127641792,0.006852531,90,17/10/2019 21:00,31890,,,,
1,43,16/10/2019 00:30,23/10/2019 21:30,0.128453216,0.006939931,91,17/10/2019 21:30,30227,,,,
1,44,16/10/2019 00:30,23/10/2019 22:00,0.128658545,0.006962135,92,17/10/2019 22:00,28639,,,,
1,45,16/10/2019 00:30,23/10/2019 22:30,0.127860088,0.006875989,93,17/10/2019 22:30,26735,,,,
1,46,16/10/2019 00:30,23/10/2019 23:00,0.126230505,0.006701838,94,17/10/2019 23:00,25711,,,,
1,47,16/10/2019 00:30,23/10/2019 23:30,0.125400625,0.006614008,95,17/10/2019 23:30,24883,,,,
2,0,16/10/2019 01:00,23/10/2019 00:00,0.129692049,0.007074436,96,18/10/2019 00:00,24830,,,,
2,1,16/10/2019 01:00,23/10/2019 00:30,0.131178045,0.00723748,97,18/10/2019 00:30,25291,,,,
2,2,16/10/2019 01:00,23/10/2019 01:00,0.126617554,0.006742999,98,18/10/2019 01:00,25129,,,,
2,3,16/10/2019 01:00,23/10/2019 01:30,0.116477597,0.005706247,99,18/10/2019 01:30,24853,,,,
2,4,16/10/2019 01:00,23/10/2019 02:00,0.106149417,0.004739163,100,18/10/2019 02:00,24324,,,,
2,5,16/10/2019 01:00,23/10/2019 02:30,0.095297626,0.00381972,101,18/10/2019 02:30,24163,,,,
2,6,16/10/2019 01:00,23/10/2019 03:00,0.083149149,0.002907934,102,18/10/2019 03:00,23967,,,,
2,7,16/10/2019 01:00,23/10/2019 03:30,0.068416475,0.001968762,103,18/10/2019 03:30,24373,,,,
2,8,16/10/2019 01:00,23/10/2019 04:00,0.052318647,0.001151308,104,18/10/2019 04:00,25387,,,,
2,9,16/10/2019 01:00,23/10/2019 04:30,0.038138527,0.000611816,105,18/10/2019 04:30,26381,,,,
2,10,16/10/2019 01:00,23/10/2019 05:00,0.027020303,0.000307117,106,18/10/2019 05:00,27824,,,,
2,11,16/10/2019 01:00,23/10/2019 05:30,0.018468077,0.000143494,107,18/10/2019 05:30,30460,,,,
2,12,16/10/2019 01:00,23/10/2019 06:00,0.012118721,6.18E-05,108,18/10/2019 06:00,36443,,,,
