group_index,variable_index,group,variable,value_scaled,value,input_time_ref,input_time,input_values,output_time_ref,output_time,prediction,y_true
0,0,01/08/2019 00:00,08/08/2019 00:00,1.95E-05,1.45E-10,0,01/08/2019 00:00,34.1,0,08/08/2019 00:00,31.73332977,30.77
0,1,01/08/2019 00:00,08/08/2019 00:30,1.13E-05,4.85E-11,1,01/08/2019 00:30,33.535,1,08/08/2019 00:30,32.59348679,29.335
0,2,01/08/2019 00:00,08/08/2019 01:00,8.99E-06,3.08E-11,2,01/08/2019 01:00,32.97,2,08/08/2019 01:00,32.79790878,27.9
0,3,01/08/2019 00:00,08/08/2019 01:30,1.06E-05,4.27E-11,3,01/08/2019 01:30,32.485,3,08/08/2019 01:30,32.87744522,27.015
0,4,01/08/2019 00:00,08/08/2019 02:00,1.62E-05,1.00E-10,4,01/08/2019 02:00,32,4,08/08/2019 02:00,32.9815979,26.13
0,5,01/08/2019 00:00,08/08/2019 02:30,2.89E-05,3.19E-10,5,01/08/2019 02:30,32.98,5,08/08/2019 02:30,33.30301666,28.065
0,6,01/08/2019 00:00,08/08/2019 03:00,5.68E-05,1.23E-09,6,01/08/2019 03:00,33.96,6,08/08/2019 03:00,34.06524658,30
0,7,01/08/2019 00:00,08/08/2019 03:30,0.000118498,5.35E-09,7,01/08/2019 03:30,35.815,7,08/08/2019 03:30,35.4745369,32.99
0,8,01/08/2019 00:00,08/08/2019 04:00,0.00025889,2.55E-08,8,01/08/2019 04:00,37.67,8,08/08/2019 04:00,37.40937424,35.98
0,9,01/08/2019 00:00,08/08/2019 04:30,0.000586594,1.31E-07,9,01/08/2019 04:30,38.865,9,08/08/2019 04:30,39.46729279,37.01
0,10,01/08/2019 00:00,08/08/2019 05:00,0.001360609,7.05E-07,10,01/08/2019 05:00,40.06,10,08/08/2019 05:00,41.50545883,38.04
0,11,01/08/2019 00:00,08/08/2019 05:30,0.003171926,3.83E-06,11,01/08/2019 05:30,39.9,11,08/08/2019 05:30,43.59076309,37.875
0,12,01/08/2019 00:00,08/08/2019 06:00,0.007245694,2.00E-05,12,01/08/2019 06:00,39.74,12,08/08/2019 06:00,45.70468521,37.71
0,13,01/08/2019 00:00,08/08/2019 06:30,0.015510774,9.17E-05,13,01/08/2019 06:30,44.355,13,08/08/2019 06:30,47.62688828,37.855
0,14,01/08/2019 00:00,08/08/2019 07:00,0.028071826,0.000300253,14,01/08/2019 07:00,48.97,14,08/08/2019 07:00,48.91710663,38
0,15,01/08/2019 00:00,08/08/2019 07:30,0.036197957,0.000499246,15,01/08/2019 07:30,49.485,15,08/08/2019 07:30,49.03380966,39
0,16,01/08/2019 00:00,08/08/2019 08:00,0.032100875,0.000392627,16,01/08/2019 08:00,50,16,08/08/2019 08:00,47.81371689,40
0,17,01/08/2019 00:00,08/08/2019 08:30,0.022513122,0.000193116,17,01/08/2019 08:30,49.25,17,08/08/2019 08:30,45.6434021,39.735
