group_index,variable_index,group,variable,value_scaled,value,input_time_ref,input_time,input_values,output_time_ref,output_time,prediction,y_true
0,0,10/10/2019 00:00,17/10/2019 00:00,0.096746136,0.000730108,0,10/10/2019 00:00,0,0,17/10/2019 00:00,0,0
0,1,10/10/2019 00:00,17/10/2019 00:30,0.094258078,0.000693038,1,10/10/2019 00:30,0,1,17/10/2019 00:30,0,0
0,2,10/10/2019 00:00,17/10/2019 01:00,0.076687936,0.000458752,2,10/10/2019 01:00,0,2,17/10/2019 01:00,0,0
0,3,10/10/2019 00:00,17/10/2019 01:30,0.069433394,0.000376066,3,10/10/2019 01:30,0,3,17/10/2019 01:30,0,0
0,4,10/10/2019 00:00,17/10/2019 02:00,0.067035472,0.00035054,4,10/10/2019 02:00,0,4,17/10/2019 02:00,0,0
0,5,10/10/2019 00:00,17/10/2019 02:30,0.068111919,0.000361888,5,10/10/2019 02:30,0,5,17/10/2019 02:30,0,0
0,6,10/10/2019 00:00,17/10/2019 03:00,0.071309147,0.000396658,6,10/10/2019 03:00,0,6,17/10/2019 03:00,0,0
0,7,10/10/2019 00:00,17/10/2019 03:30,0.074766138,0.000436048,7,10/10/2019 03:30,0,7,17/10/2019 03:30,0,0
0,8,10/10/2019 00:00,17/10/2019 04:00,0.078821951,0.000484638,8,10/10/2019 04:00,0,8,17/10/2019 04:00,0,0
0,9,10/10/2019 00:00,17/10/2019 04:30,0.08221708,0.000527287,9,10/10/2019 04:30,0,9,17/10/2019 04:30,0,0
0,10,10/10/2019 00:00,17/10/2019 05:00,0.083926923,0.000549446,10,10/10/2019 05:00,0,10,17/10/2019 05:00,0,0
0,11,10/10/2019 00:00,17/10/2019 05:30,0.084077611,0.00055142,11,10/10/2019 05:30,0,11,17/10/2019 05:30,0,0
0,12,10/10/2019 00:00,17/10/2019 06:00,0.080724503,0.000508316,12,10/10/2019 06:00,0,12,17/10/2019 06:00,0,0
0,13,10/10/2019 00:00,17/10/2019 06:30,0.068520951,0.000366247,13,10/10/2019 06:30,149,13,17/10/2019 06:30,0,34
