group_index,variable_index,group,variable,value_scaled,value,input_time_ref,input_time,input_values,output_time_ref,output_time,prediction,y_true
0,0,03/03/2019 00:00,08/07/2019 00:00,0.000478151,1.42E-07,0,03/03/2019 00:00,8328.358463,0,08/07/2019 00:00,1158.442749,1312.587524
0,1,03/03/2019 00:00,08/07/2019 00:30,0.000459018,1.31E-07,1,03/03/2019 00:30,8394.770113,1,08/07/2019 00:30,1128.785767,1301.403076
0,2,03/03/2019 00:00,08/07/2019 01:00,0.000432927,1.16E-07,2,03/03/2019 01:00,8447.136944,2,08/07/2019 01:00,1100.80957,1289.811646
0,3,03/03/2019 00:00,08/07/2019 01:30,0.000413391,1.06E-07,3,03/03/2019 01:30,8414.520113,3,08/07/2019 01:30,1078.57019,1284.526367
0,4,03/03/2019 00:00,08/07/2019 02:00,0.000396879,9.79E-08,4,03/03/2019 02:00,8418.066886,4,08/07/2019 02:00,1058.785156,1260.396729
0,5,03/03/2019 00:00,08/07/2019 02:30,0.000382443,9.10E-08,5,03/03/2019 02:30,8542.555268,5,08/07/2019 02:30,1041.835327,1254.402588
0,6,03/03/2019 00:00,08/07/2019 03:00,0.000371326,8.58E-08,6,03/03/2019 03:00,8679.283391,6,08/07/2019 03:00,1027.006348,1260.328857
0,7,03/03/2019 00:00,08/07/2019 03:30,0.000363249,8.21E-08,7,03/03/2019 03:30,8732.151895,7,08/07/2019 03:30,1011.89502,1262.760132
0,8,03/03/2019 00:00,08/07/2019 04:00,0.000358975,8.02E-08,8,03/03/2019 04:00,8591.075941,8,08/07/2019 04:00,999.5264893,1246.963257
0,9,03/03/2019 00:00,08/07/2019 04:30,0.000352257,7.72E-08,9,03/03/2019 04:30,8532.616211,9,08/07/2019 04:30,988.1911621,1227.230103
0,10,03/03/2019 00:00,08/07/2019 05:00,0.000349127,7.59E-08,10,03/03/2019 05:00,8727.185738,10,08/07/2019 05:00,979.5512085,1265.289673
0,11,03/03/2019 00:00,08/07/2019 05:30,0.000346937,7.49E-08,11,03/03/2019 05:30,9122.881602,11,08/07/2019 05:30,972.7202148,1287.274048
0,12,03/03/2019 00:00,08/07/2019 06:00,0.000348068,7.54E-08,12,03/03/2019 06:00,9555.459867,12,08/07/2019 06:00,968.8051147,1316.268188
0,13,03/03/2019 00:00,08/07/2019 06:30,0.000341037,7.24E-08,13,03/03/2019 06:30,9923.273101,13,08/07/2019 06:30,969.6344604,1292.220093
0,14,03/03/2019 00:00,08/07/2019 07:00,0.000336681,7.06E-08,14,03/03/2019 07:00,10224.09075,14,08/07/2019 07:00,973.7080078,1274.512329
0,15,03/03/2019 00:00,08/07/2019 07:30,0.000330647,6.81E-08,15,03/03/2019 07:30,10373.33912,15,08/07/2019 07:30,983.5390625,1243.306274
0,16,03/03/2019 00:00,08/07/2019 08:00,0.000326281,6.63E-08,16,03/03/2019 08:00,10312.58073,16,08/07/2019 08:00,996.7630005,1225.232178
0,17,03/03/2019 00:00,08/07/2019 08:30,0.000323597,6.52E-08,17,03/03/2019 08:30,10134.6898,17,08/07/2019 08:30,1014.991028,1222.263794
0,18,03/03/2019 00:00,08/07/2019 09:00,0.000321807,6.45E-08,18,03/03/2019 09:00,9974.420139,18,08/07/2019 09:00,1036.912964,1220.503174
0,19,03/03/2019 00:00,08/07/2019 09:30,0.00036382,8.24E-08,19,03/03/2019 09:30,9909.549245,19,08/07/2019 09:30,1041.073853,1207.704102
0,20,03/03/2019 00:00,08/07/2019 10:00,0.000410916,1.05E-07,20,03/03/2019 10:00,9874.320208,20,08/07/2019 10:00,1046.658936,1190.708618
0,21,03/03/2019 00:00,08/07/2019 10:30,0.000401415,1.00E-07,21,03/03/2019 10:30,9696.38006,21,08/07/2019 10:30,1076.549072,1160.442383
0,22,03/03/2019 00:00,08/07/2019 11:00,0.000390661,9.49E-08,22,03/03/2019 11:00,9463.630122,22,08/07/2019 11:00,1108.540039,1123.028442
0,23,03/03/2019 00:00,08/07/2019 11:30,0.000394507,9.68E-08,23,03/03/2019 11:30,9300.821751,23,08/07/2019 11:30,1142.508911,1093.576538
