year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
1,15/07/2019 00:00,19.53030664,21.98641016,22.48782227,22.24949414,23.36456055,23.66138281,24.84472461,25.23523438,26.31878125,23.445
2,15/07/2019 00:30,19.33987891,21.47315234,22.41776953,22.04871875,23.53082422,23.25956641,24.18430859,25.16465234,25.84616406,23.047
3,15/07/2019 01:00,18.86504492,20.90421875,22.13093555,21.75064063,23.12557422,22.86275,23.69816992,24.52542969,25.2622793,22.706
4,15/07/2019 01:30,18.43325,20.49770508,21.74003906,21.42109766,22.70485156,22.49795508,23.24834766,23.98921289,24.78650195,22.349
5,15/07/2019 02:00,18.06406055,20.17651563,21.32596484,21.14208594,22.32058984,22.13454102,22.84507617,23.61846094,24.41789258,21.938
6,15/07/2019 02:30,17.770125,19.93626758,20.95843359,20.92741992,22.00767578,21.90356836,22.54063867,23.43463281,24.18490039,21.895
7,15/07/2019 03:00,17.58158594,19.79410742,20.70320313,20.78728516,21.8312168,21.91652734,22.38051758,23.46242188,24.14720898,21.922
8,15/07/2019 03:30,17.56491992,19.79092773,20.66464453,20.77738086,21.89733594,22.17282031,22.41846094,23.73713086,24.40175977,21.754
9,15/07/2019 04:00,17.86421484,20.05562109,21.04606641,21.1141875,22.3719043,22.72065039,22.74926172,24.37764063,25.14900391,22.31
10,15/07/2019 04:30,18.72430078,20.93458203,22.15417578,22.12699023,23.58364844,23.90490625,23.64443555,25.77292578,26.91726367,23.565
11,15/07/2019 05:00,20.49473438,22.75542773,24.31242773,24.21239453,25.97210156,26.33454883,25.93178125,28.29820117,29.67011914,26.706
12,15/07/2019 05:30,23.63693359,25.06721094,27.434,27.27693945,29.06984375,29.5823418,29.78102539,31.34264453,32.21927734,29.085
13,15/07/2019 06:00,27.72771094,27.77686719,30.33224219,30.3120293,31.8559043,32.38374805,33.04600391,33.95034375,34.23489063,31.742
14,15/07/2019 06:30,31.08953711,30.66102539,32.54264063,32.63633008,33.96021094,34.45012109,35.32906641,35.84151563,35.83336328,33.583
15,15/07/2019 07:00,32.93400391,32.75786914,34.11008203,34.14727734,35.36713672,35.82667578,36.71105078,37.18265234,37.07901953,35.74
16,15/07/2019 07:30,33.84710547,33.99796094,35.06000781,35.09433594,36.27598047,36.71212109,37.46135156,38.08715625,37.98087891,36.295
17,15/07/2019 08:00,34.40427344,34.81158594,35.59081641,35.71910547,36.88323438,37.32801172,37.89192188,38.70284766,38.61176172,35.18
18,15/07/2019 08:30,34.79794922,35.39797656,35.92582422,36.18581641,37.31302734,37.79725391,38.16896484,39.14632813,39.06680078,37.463
19,15/07/2019 09:00,35.07025,35.80548828,36.17829688,36.55957422,37.63650781,38.1645625,38.36715625,39.47248828,39.40653125,37.58
20,15/07/2019 09:30,35.22797656,36.06362109,36.37008594,36.83607422,37.89054297,38.43863281,38.51646484,39.70389453,39.65712109,38.019
21,15/07/2019 10:00,35.28075391,36.20707031,36.48963672,37.00440625,38.08376172,38.61404688,38.62960938,39.85005859,39.82957422,38.453
