year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
1,15/07/2019 00:00,22.95624161,24.40224266,29.79719734,29.14210892,30.61892509,33.23464966,32.54670715,34.23378372,37.92270279,38.39
2,15/07/2019 00:30,21.21053505,24.15021324,28.71153831,28.53809547,31.67381859,33.10484695,31.74522591,33.3802948,36.49850464,38.185
3,15/07/2019 01:00,19.0242939,23.06757355,27.61241341,28.42784119,31.41387939,32.56835175,30.9367218,32.78586197,35.51371384,37.98
4,15/07/2019 01:30,17.53595352,22.20551682,26.76844788,28.32474518,31.16568565,32.25363922,30.75258255,32.45714951,35.19413757,37.49
5,15/07/2019 02:00,16.97183609,21.90865898,26.3226223,28.42435265,30.90514755,32.1060791,31.04170799,32.68689346,35.50782394,37
6,15/07/2019 02:30,17.29097557,22.31149864,26.43565559,28.9186821,30.86275864,32.1581459,31.69594383,33.78776169,36.40650558,36.5
7,15/07/2019 03:00,18.35015869,23.51656532,27.42920113,30.05622673,31.37765694,32.70258713,32.69781113,35.65433502,37.7142067,36
8,15/07/2019 03:30,20.05601883,25.80668068,29.59530449,32.01917648,32.69686127,34.18483353,34.03396225,37.79651642,39.31261444,37.5
9,15/07/2019 04:00,22.3471489,29.23623848,32.33979797,34.4730835,34.48080444,36.25798035,35.66450882,39.77213669,41.35567093,39
10,15/07/2019 04:30,25.05200577,32.83774567,34.54125595,36.62456131,36.24113083,38.14174652,37.57201004,41.54346466,43.94017792,42
11,15/07/2019 05:00,27.81263733,35.4683075,35.99518204,38.23897171,37.9059906,39.66210556,39.65357971,43.27704239,46.75804901,45
12,15/07/2019 05:30,30.27158546,37.15559769,37.03581619,39.53588486,39.67591858,40.97618866,41.70443726,45.0098114,49.63312149,45.565
13,15/07/2019 06:00,32.26971817,38.38630676,38.03103256,40.63027573,41.75642776,42.36027908,43.80126953,46.86447906,52.76776886,46.13
14,15/07/2019 06:30,33.80400467,39.43514252,39.51445007,41.53687286,44.12028885,44.24129105,46.61712646,49.02105713,56.41632462,48.865
