year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
1,26/08/2019 00:00,0,0,0,0,0,0,0,0,0,0
2,26/08/2019 00:30,0,0,0,0,0,0,0,0,0,0
3,26/08/2019 01:00,0,0,0,0,0,0,0,0,0,0
4,26/08/2019 01:30,0,0,0,0,0,0,0,0,0,0
5,26/08/2019 02:00,0,0,0,0,0,0,0,0,0,0
6,26/08/2019 02:30,0,0,0,0,0,0,0,0,0,0
7,26/08/2019 03:00,0,0,0,0,0,0,0,0,0,0
8,26/08/2019 03:30,0,0,0,0,0,0,0,0,0.010955824,0
9,26/08/2019 04:00,0,0,0,0,0,0,0,0,0.154588776,0
10,26/08/2019 04:30,0,0,0,0,0.141532639,0.107923439,0.061688847,0.132008957,0.292331635,0
11,26/08/2019 05:00,0,0,0,0.310029877,0.35482019,0.363441254,0.290730316,0.375288696,0.479256348,0.015
12,26/08/2019 05:30,0,0,0.33647583,0.505254181,0.663548767,0.696376709,0.615022888,0.708186951,0.76276001,0.21
13,26/08/2019 06:00,0.313323395,0.549766174,0.499732605,0.771116211,0.983257568,1.093321533,1.051724121,1.120369629,1.173724121,0.593
14,26/08/2019 06:30,0.543345398,0.715138245,0.993576599,1.211824707,1.473813232,1.603056274,1.728578247,1.82146106,1.810193604,1.09
15,26/08/2019 07:00,0.878595032,1.312259766,1.354187988,1.727541382,1.999970947,2.10943457,2.348902344,2.569163574,2.522125732,1.66
16,26/08/2019 07:30,1.336297729,1.705154907,2.076901367,2.44457251,2.775594727,2.874533447,3.042490479,3.380218262,3.462520996,2.27
17,26/08/2019 08:00,1.794836182,2.4396875,2.643504883,3.124385986,3.438264404,3.690128418,3.79783252,4.167152344,4.507903809,2.94
18,26/08/2019 08:30,2.284565186,2.94766333,3.384983154,3.861031982,4.178621582,4.444915527,4.645477051,5.04967334,5.451838379,3.55
19,26/08/2019 09:00,2.746349609,3.621592041,4.067718018,4.550381836,4.841507324,5.162496094,5.453313477,5.96558252,6.232673828,4.3
20,26/08/2019 09:30,3.133330811,4.09329541,4.682218262,5.146788086,5.487646973,5.830496582,6.150370605,6.70123584,6.947921387,5.01
21,26/08/2019 10:00,3.500866211,4.586818848,5.23785498,5.68033252,6.069469238,6.439368164,6.762910156,7.295191406,7.539371582,5.79
22,26/08/2019 10:30,3.731645752,4.877646973,5.614487305,6.04598291,6.494025391,6.894109375,7.229255859,7.746064941,7.966528809,6.4
