year,Datetime,q_05,q_15,q_25,q_35,q_5,q_65,q_75,q_85,q_95,actual
1,08/07/2019 00:00,0.662224365,0.729879883,0.846887512,1.091373779,1.158442749,1.290180908,1.563041016,1.679433716,2.663108398,1.312587524
2,08/07/2019 00:30,0.656581421,0.726874817,0.829207581,1.066060913,1.128785767,1.257044556,1.531473267,1.652545654,2.610750488,1.301403076
3,08/07/2019 01:00,0.647037903,0.723894897,0.808805664,1.042686035,1.10080957,1.231392822,1.499742432,1.631057617,2.566481201,1.289811646
4,08/07/2019 01:30,0.644388062,0.720884827,0.794272827,1.022424438,1.07857019,1.203953369,1.473702515,1.612786743,2.527072754,1.284526367
5,08/07/2019 02:00,0.643640015,0.717408264,0.781789978,1.004086365,1.058785156,1.179227173,1.450908203,1.598723755,2.494474121,1.260396729
6,08/07/2019 02:30,0.646254517,0.714425415,0.771289551,0.989339111,1.041835327,1.159162231,1.433315063,1.590689819,2.471098633,1.254402588
7,08/07/2019 03:00,0.650565979,0.710925293,0.761957703,0.976835876,1.027006348,1.142919556,1.419889771,1.587537842,2.455271973,1.260328857
8,08/07/2019 03:30,0.652467041,0.703256592,0.751891052,0.962911133,1.01189502,1.127683838,1.406825073,1.586196777,2.442394287,1.262760132
9,08/07/2019 04:00,0.655618774,0.694986267,0.743512451,0.951584167,0.999526489,1.117300903,1.398804688,1.59012146,2.437954346,1.246963257
10,08/07/2019 04:30,0.657521484,0.683903748,0.735037964,0.94091217,0.988191162,1.111265015,1.393936768,1.597838013,2.440613037,1.227230103
11,08/07/2019 05:00,0.660399902,0.67259613,0.728090271,0.932843933,0.979551208,1.110364624,1.394554077,1.611180176,2.453133545,1.265289673
12,08/07/2019 05:30,0.662395081,0.660296326,0.72234613,0.926388123,0.972720215,1.11425708,1.399413696,1.628435181,2.474503906,1.287274048
13,08/07/2019 06:00,0.66513446,0.648497559,0.718453796,0.922788208,0.968805115,1.123018799,1.409543335,1.651122681,2.506639404,1.316268188
14,08/07/2019 06:30,0.670727539,0.639980225,0.718577087,0.923667175,0.96963446,1.137810425,1.425751099,1.679507568,2.551928955,1.292220093
15,08/07/2019 07:00,0.676909363,0.632952698,0.721022156,0.92766687,0.973708008,1.156284058,1.445812378,1.712571289,2.607644043,1.274512329
16,08/07/2019 07:30,0.687731445,0.63165979,0.72864917,0.938445251,0.983539063,1.180788574,1.472408813,1.752533203,2.677036377,1.243306274
17,08/07/2019 08:00,0.699147705,0.632926697,0.73885083,0.952554504,0.996763,1.207946777,1.501254883,1.795796875,2.754229248,1.225232178
18,08/07/2019 08:30,0.712665222,0.638981445,0.753309937,0.971312439,1.014991028,1.238425171,1.532888062,1.84238501,2.838262695,1.222263794
19,08/07/2019 09:00,0.726477844,0.648487122,0.770496033,0.993243958,1.036912964,1.270813721,1.565047729,1.890543579,2.925827881,1.220503174
20,08/07/2019 09:30,0.713328491,0.635718201,0.772506836,0.989897461,1.041073853,1.286339966,1.57685437,1.918593506,2.988252441,1.207704102
21,08/07/2019 10:00,0.699776611,0.626213623,0.779031982,0.986680359,1.046658936,1.30241626,1.588193604,1.944037842,3.050472412,1.190708618
22,08/07/2019 10:30,0.711759766,0.645213501,0.801738464,1.015361572,1.076549072,1.337966187,1.619633301,1.989569092,3.140365234,1.160442383
23,08/07/2019 11:00,0.721346741,0.665330139,0.824277954,1.044805786,1.108540039,1.37310791,1.649059937,2.033988647,3.226953857,1.123028442
24,08/07/2019 11:30,0.730807373,0.686931091,0.847832458,1.07563855,1.142508911,1.409100342,1.67818457,2.078199219,3.30748584,1.093576538
25,08/07/2019 12:00,0.739293579,0.708677124,0.871594299,1.107070801,1.17775,1.44481665,1.705828491,2.119688721,3.379984863,1.07340918
26,08/07/2019 12:30,0.752452576,0.736120789,0.899363831,1.146383301,1.220387939,1.484538452,1.736399536,2.162588135,3.448336426,1.071818115
27,08/07/2019 13:00,0.76402124,0.761597961,0.927133118,1.185322144,1.263356323,1.522652832,1.765082764,2.201890381,3.507122803,1.064863892
28,08/07/2019 13:30,0.777756714,0.788171204,0.95789502,1.228624756,1.309025635,1.562648804,1.795270874,2.241631348,3.55919873,1.078063354
29,08/07/2019 14:00,0.790403564,0.812340698,0.988605835,1.270655396,1.353566528,1.600069092,1.823581421,2.276988525,3.601158936,1.110130859
30,08/07/2019 14:30,0.795642395,0.827588379,1.012416077,1.301079834,1.389495239,1.627170044,1.844460815,2.299545654,3.627722656,1.183530396
31,08/07/2019 15:00,0.799337097,0.840174438,1.034528442,1.328483154,1.421981323,1.649423706,1.862300293,2.314986816,3.643837158,1.255098022
32,08/07/2019 15:30,0.798952332,0.847836426,1.052926514,1.351031982,1.447506104,1.665689331,1.875856079,2.323108643,3.65037915,1.329864502
33,08/07/2019 16:00,0.796889893,0.853183533,1.06821936,1.369314941,1.468143799,1.676305298,1.885405884,2.323388184,3.646762939,1.387215088
34,08/07/2019 16:30,0.788477356,0.8514104,1.073679199,1.374595459,1.478532104,1.674259155,1.885435913,2.30808374,3.628648682,1.436108521
